#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_123w.pdb 0.005 37.406 16.660 0.02082 Incorrect Incorrect
allpdb0336_4_188w.pdb 0.005 37.613 16.756 0.02062 Incorrect Incorrect
allpdb0336_4_131w.pdb 0.005 36.839 16.329 0.02141 Incorrect Incorrect
allpdb0336_4_85w.pdb 0.011 34.008 15.015 0.02644 Incorrect Incorrect
allpdb0336_4_54w.pdb 0.016 35.910 15.653 0.02604 Incorrect Incorrect
allpdb0336_4_133w.pdb 0.005 37.141 16.623 0.02105 Incorrect Incorrect
allpdb0336_4_181w.pdb 0.005 37.291 16.579 0.02094 Incorrect Incorrect
allpdb0336_4_52w.pdb 0.016 35.650 15.460 0.02636 Incorrect Incorrect
allpdb0336_4_114w.pdb 0.011 34.842 15.695 0.02529 Incorrect Incorrect
allpdb0336_4_117w.pdb 0.005 37.020 16.469 0.02121 Incorrect Incorrect
allpdb0336_4_139w.pdb 0.005 37.316 16.776 0.02086 Incorrect Incorrect
allpdb0336_4_186w.pdb 0.005 37.208 16.608 0.02100 Incorrect Incorrect
allpdb0336_4_198w.pdb 0.005 37.400 16.841 0.02077 Incorrect Incorrect
allpdb0336_4_100w.pdb 0.005 37.004 16.561 0.02119 Incorrect Incorrect
allpdb0336_4_179w.pdb 0.005 36.812 16.438 0.02140 Incorrect Incorrect
allpdb0336_4_127w.pdb 0.005 37.168 16.688 0.02101 Incorrect Incorrect
allpdb0336_4_159w.pdb 0.005 37.190 16.606 0.02102 Incorrect Incorrect
allpdb0336_4_143w.pdb 0.005 37.148 16.500 0.02109 Incorrect Incorrect
allpdb0336_4_171w.pdb 0.005 37.312 16.662 0.02090 Incorrect Incorrect
allpdb0336_4_28w.pdb 0.016 33.714 15.205 0.02845 Incorrect Incorrect
allpdb0336_4_175w.pdb 0.005 37.198 16.548 0.02103 Incorrect Incorrect
allpdb0336_4_140w.pdb 0.005 37.296 16.715 0.02089 Incorrect Incorrect
allpdb0336_4_177w.pdb 0.005 36.991 16.640 0.02118 Incorrect Incorrect
allpdb0336_4_146w.pdb 0.005 37.481 16.761 0.02073 Incorrect Incorrect
allpdb0336_4_162w.pdb 0.005 37.263 16.674 0.02094 Incorrect Incorrect
allpdb0336_4_163w.pdb 0.005 37.155 16.727 0.02101 Incorrect Incorrect
allpdb0336_4_137w.pdb 0.005 36.948 16.519 0.02125 Incorrect Incorrect
allpdb0336_4_135w.pdb 0.005 37.362 16.662 0.02086 Incorrect Incorrect
allpdb0336_4_189w.pdb 0.005 37.251 16.809 0.02090 Incorrect Incorrect
allpdb0336_4_37w.pdb 0.016 36.201 16.175 0.02558 Incorrect Incorrect
allpdb0336_4_64w.pdb 0.016 35.755 15.654 0.02618 Incorrect Incorrect
allpdb0336_4_41w.pdb 0.016 36.096 15.878 0.02578 Incorrect Incorrect
allpdb0336_4_174w.pdb 0.005 37.019 16.511 0.02120 Incorrect Incorrect
allpdb0336_4_172w.pdb 0.005 37.470 16.783 0.02073 Incorrect Incorrect
allpdb0336_4_110w.pdb 0.005 36.880 16.444 0.02134 Incorrect Incorrect
allpdb0336_4_78w.pdb 0.016 35.847 16.039 0.02595 Incorrect Incorrect
allpdb0336_4_91w.pdb 0.016 34.915 15.748 0.02697 Incorrect Incorrect
allpdb0336_4_130w.pdb 0.005 37.209 16.689 0.02098 Incorrect Incorrect
allpdb0336_4_56w.pdb 0.016 34.282 15.317 0.02779 Incorrect Incorrect
