#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0854_8_126w.pdb 0.504 3.419 1.478 0.62409 Medium Medium
allpdb0854_8_69w.pdb 0.479 2.690 1.454 0.63460 Medium Medium
allpdb0854_8_18w.pdb 0.471 3.851 1.774 0.57260 Medium Medium
allpdb0854_8_30w.pdb 0.430 3.341 1.435 0.60606 Medium Medium
allpdb0854_8_140w.pdb 0.314 5.969 3.242 0.38669 Acceptable Acceptable
allpdb0854_8_78w.pdb 0.264 5.865 3.156 0.37542 Acceptable Acceptable
allpdb0854_8_100w.pdb 0.471 4.001 1.301 0.62018 Medium Medium
allpdb0854_8_175w.pdb 0.529 2.228 1.025 0.71542 Medium Medium
allpdb0854_8_104w.pdb 0.413 3.937 2.086 0.52580 Medium Medium
allpdb0854_8_111w.pdb 0.405 5.269 2.011 0.49495 Acceptable Medium
allpdb0854_8_97w.pdb 0.413 3.082 1.331 0.61887 Medium Medium
allpdb0854_8_195w.pdb 0.488 4.410 1.639 0.57714 Medium Medium
allpdb0854_8_49w.pdb 0.372 6.052 1.924 0.47114 Medium Acceptable
allpdb0854_8_38w.pdb 0.463 2.945 1.766 0.59154 Medium Medium
allpdb0854_8_183w.pdb 0.421 3.229 1.959 0.55503 Medium Medium
allpdb0854_8_22w.pdb 0.215 9.570 3.080 0.28253 Acceptable Acceptable
allpdb0854_8_143w.pdb 0.372 5.122 2.446 0.45961 Acceptable Acceptable
allpdb0854_8_177w.pdb 0.471 3.222 1.740 0.59055 Medium Medium
allpdb0854_8_122w.pdb 0.372 6.151 2.220 0.44721 Acceptable Acceptable
allpdb0854_8_24w.pdb 0.430 3.288 1.563 0.59307 Medium Medium
allpdb0854_8_10w.pdb 0.479 4.458 1.618 0.57529 Medium Medium
allpdb0854_8_65w.pdb 0.339 9.447 4.145 0.30067 Acceptable Acceptable
allpdb0854_8_29w.pdb 0.298 10.106 3.205 0.29717 Acceptable Acceptable
allpdb0854_8_159w.pdb 0.182 10.990 4.695 0.21625 Incorrect Incorrect
allpdb0854_8_130w.pdb 0.355 4.263 2.442 0.47614 Medium Acceptable
allpdb0854_8_90w.pdb 0.306 6.607 3.109 0.37265 Acceptable Acceptable
allpdb0854_8_64w.pdb 0.405 5.937 2.613 0.44163 Acceptable Acceptable
allpdb0854_8_118w.pdb 0.331 2.996 1.594 0.56326 Medium Medium
allpdb0854_8_43w.pdb 0.421 3.414 1.416 0.60375 Medium Medium
allpdb0854_8_59w.pdb 0.463 4.170 1.339 0.60844 Medium Medium
allpdb0854_8_11w.pdb 0.388 7.292 2.549 0.40724 Acceptable Acceptable
allpdb0854_8_53w.pdb 0.248 10.949 4.852 0.23707 Incorrect Acceptable
allpdb0854_8_107w.pdb 0.438 4.336 1.487 0.57869 Medium Medium
allpdb0854_8_141w.pdb 0.264 12.812 5.401 0.21390 Incorrect Incorrect
allpdb0854_8_161w.pdb 0.430 3.398 1.822 0.56528 Medium Medium
allpdb0854_8_150w.pdb 0.413 3.020 1.888 0.56268 Medium Medium
allpdb0854_8_158w.pdb 0.413 3.790 2.017 0.53448 Medium Medium
allpdb0854_8_199w.pdb 0.388 4.183 1.464 0.56858 Medium Medium
allpdb0854_8_129w.pdb 0.438 4.314 1.575 0.56959 Medium Medium
allpdb0854_8_1w.pdb 0.281 8.961 3.684 0.29894 Acceptable Acceptable
allpdb0854_8_85w.pdb 0.289 9.286 4.602 0.28040 Acceptable Acceptable
allpdb0854_8_179w.pdb 0.190 8.248 4.071 0.27488 Acceptable Acceptable
allpdb0854_8_28w.pdb 0.380 4.935 2.147 0.48535 Medium Acceptable
