#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0854_8_147w.pdb 0.231 13.351 5.924 0.19336 Incorrect Incorrect
allpdb0854_8_22w.pdb 0.281 8.157 3.623 0.31597 Acceptable Acceptable
allpdb0854_8_8w.pdb 0.289 7.348 3.154 0.34869 Acceptable Acceptable
allpdb0854_8_127w.pdb 0.248 15.017 6.165 0.18215 Incorrect Incorrect
allpdb0854_8_87w.pdb 0.248 12.783 5.893 0.20513 Incorrect Incorrect
allpdb0854_8_23w.pdb 0.281 7.768 3.388 0.32994 Acceptable Acceptable
allpdb0854_8_121w.pdb 0.223 14.799 6.510 0.17388 Incorrect Incorrect
allpdb0854_8_168w.pdb 0.256 9.160 4.390 0.27447 Acceptable Acceptable
allpdb0854_8_64w.pdb 0.248 7.960 3.309 0.31705 Acceptable Acceptable
allpdb0854_8_50w.pdb 0.306 6.716 2.867 0.37878 Acceptable Acceptable
allpdb0854_8_7w.pdb 0.273 8.490 3.625 0.30649 Acceptable Acceptable
allpdb0854_8_38w.pdb 0.273 9.075 4.107 0.28591 Acceptable Acceptable
allpdb0854_8_75w.pdb 0.198 14.680 6.751 0.16549 Incorrect Incorrect
allpdb0854_8_124w.pdb 0.231 7.320 3.720 0.31516 Acceptable Acceptable
allpdb0854_8_179w.pdb 0.289 13.309 5.478 0.21624 Incorrect Incorrect
allpdb0854_8_135w.pdb 0.256 13.128 5.454 0.20730 Incorrect Incorrect
allpdb0854_8_76w.pdb 0.215 9.966 5.015 0.23938 Acceptable Acceptable
allpdb0854_8_145w.pdb 0.207 14.320 6.329 0.17345 Incorrect Incorrect
allpdb0854_8_185w.pdb 0.264 11.943 4.824 0.22962 Incorrect Incorrect
allpdb0854_8_186w.pdb 0.231 12.411 5.522 0.20647 Incorrect Incorrect
allpdb0854_8_11w.pdb 0.256 6.846 3.139 0.34956 Acceptable Acceptable
allpdb0854_8_189w.pdb 0.264 10.534 4.334 0.25526 Incorrect Acceptable
allpdb0854_8_25w.pdb 0.273 6.989 3.411 0.34380 Acceptable Acceptable
allpdb0854_8_41w.pdb 0.273 7.540 3.326 0.33379 Acceptable Acceptable
allpdb0854_8_154w.pdb 0.256 9.476 4.009 0.27496 Acceptable Acceptable
allpdb0854_8_32w.pdb 0.207 9.541 4.255 0.25321 Acceptable Acceptable
allpdb0854_8_169w.pdb 0.264 10.575 5.120 0.24533 Incorrect Acceptable
allpdb0854_8_142w.pdb 0.231 14.080 5.932 0.18621 Incorrect Incorrect
allpdb0854_8_60w.pdb 0.248 9.957 4.458 0.25706 Acceptable Acceptable
allpdb0854_8_37w.pdb 0.289 7.874 3.611 0.32487 Acceptable Acceptable
allpdb0854_8_118w.pdb 0.231 10.551 4.490 0.24179 Incorrect Acceptable
allpdb0854_8_74w.pdb 0.264 10.269 4.269 0.26031 Incorrect Acceptable
allpdb0854_8_167w.pdb 0.231 12.125 5.633 0.20904 Incorrect Incorrect
allpdb0854_8_114w.pdb 0.231 12.978 5.888 0.19751 Incorrect Incorrect
allpdb0854_8_80w.pdb 0.256 10.925 5.043 0.23818 Incorrect Acceptable
allpdb0854_8_123w.pdb 0.240 7.228 3.501 0.32503 Acceptable Acceptable
allpdb0854_8_28w.pdb 0.273 7.625 3.485 0.32770 Acceptable Acceptable
allpdb0854_8_159w.pdb 0.223 13.990 6.230 0.18252 Incorrect Incorrect
allpdb0854_8_187w.pdb 0.264 14.311 6.280 0.19307 Incorrect Incorrect
allpdb0854_8_89w.pdb 0.248 9.886 4.762 0.25442 Acceptable Acceptable
allpdb0854_8_99w.pdb 0.281 15.582 6.180 0.18865 Incorrect Incorrect
