#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0732_8_79w.pdb 0.045 36.473 13.765 0.03606 Incorrect Incorrect
allpdb0732_8_7w.pdb 0.045 36.629 14.113 0.03574 Incorrect Incorrect
allpdb0732_8_153w.pdb 0.045 35.986 14.014 0.03637 Incorrect Incorrect
allpdb0732_8_8w.pdb 0.034 36.167 13.837 0.03256 Incorrect Incorrect
allpdb0732_8_169w.pdb 0.034 36.334 13.772 0.03244 Incorrect Incorrect
allpdb0732_8_133w.pdb 0.056 36.217 13.990 0.03992 Incorrect Incorrect
allpdb0732_8_26w.pdb 0.045 36.464 14.263 0.03581 Incorrect Incorrect
allpdb0732_8_46w.pdb 0.056 36.121 13.893 0.04006 Incorrect Incorrect
allpdb0732_8_41w.pdb 0.045 36.027 13.665 0.03653 Incorrect Incorrect
allpdb0732_8_75w.pdb 0.045 36.047 13.791 0.03644 Incorrect Incorrect
allpdb0732_8_186w.pdb 0.056 37.743 13.484 0.03889 Incorrect Incorrect
allpdb0732_8_127w.pdb 0.045 35.500 13.545 0.03709 Incorrect Incorrect
allpdb0732_8_93w.pdb 0.045 36.519 14.063 0.03586 Incorrect Incorrect
allpdb0732_8_104w.pdb 0.045 35.611 13.712 0.03689 Incorrect Incorrect
allpdb0732_8_183w.pdb 0.056 37.663 13.319 0.03906 Incorrect Incorrect
allpdb0732_8_117w.pdb 0.034 36.161 13.872 0.03254 Incorrect Incorrect
allpdb0732_8_52w.pdb 0.045 36.400 14.263 0.03586 Incorrect Incorrect
allpdb0732_8_11w.pdb 0.034 36.128 13.997 0.03250 Incorrect Incorrect
allpdb0732_8_107w.pdb 0.045 36.339 14.043 0.03603 Incorrect Incorrect
allpdb0732_8_144w.pdb 0.034 36.523 14.076 0.03211 Incorrect Incorrect
allpdb0732_8_113w.pdb 0.056 35.174 13.301 0.04130 Incorrect Incorrect
allpdb0732_8_6w.pdb 0.045 34.884 13.123 0.03796 Incorrect Incorrect
allpdb0732_8_130w.pdb 0.034 36.580 13.962 0.03212 Incorrect Incorrect
allpdb0732_8_174w.pdb 0.022 37.365 13.733 0.02782 Incorrect Incorrect
allpdb0732_8_99w.pdb 0.034 36.455 14.131 0.03214 Incorrect Incorrect
allpdb0732_8_28w.pdb 0.034 36.725 14.142 0.03189 Incorrect Incorrect
allpdb0732_8_39w.pdb 0.022 36.923 14.063 0.02802 Incorrect Incorrect
allpdb0732_8_37w.pdb 0.056 36.113 13.911 0.04005 Incorrect Incorrect
allpdb0732_8_17w.pdb 0.011 37.039 14.036 0.02419 Incorrect Incorrect
allpdb0732_8_72w.pdb 0.056 35.833 13.810 0.04037 Incorrect Incorrect
allpdb0732_8_63w.pdb 0.045 36.378 13.953 0.03605 Incorrect Incorrect
allpdb0732_8_68w.pdb 0.034 36.305 13.890 0.03240 Incorrect Incorrect
allpdb0732_8_42w.pdb 0.067 35.043 13.467 0.04508 Incorrect Incorrect
allpdb0732_8_109w.pdb 0.034 36.527 14.417 0.03193 Incorrect Incorrect
allpdb0732_8_43w.pdb 0.034 36.589 14.120 0.03202 Incorrect Incorrect
allpdb0732_8_141w.pdb 0.034 36.537 13.957 0.03216 Incorrect Incorrect
allpdb0732_8_103w.pdb 0.000 36.287 13.891 0.02118 Incorrect Incorrect
allpdb0732_8_69w.pdb 0.045 35.065 13.418 0.03760 Incorrect Incorrect
allpdb0732_8_5w.pdb 0.045 36.303 13.814 0.03619 Incorrect Incorrect
allpdb0732_8_64w.pdb 0.034 36.553 14.377 0.03193 Incorrect Incorrect
allpdb0732_8_10w.pdb 0.034 36.337 14.339 0.03214 Incorrect Incorrect
allpdb0732_8_74w.pdb 0.045 36.351 14.097 0.03599 Incorrect Incorrect
allpdb0732_8_58w.pdb 0.045 36.412 14.319 0.03582 Incorrect Incorrect
allpdb0732_8_53w.pdb 0.011 36.627 13.439 0.02488 Incorrect Incorrect
allpdb0732_8_65w.pdb 0.022 35.840 14.103 0.02897 Incorrect Incorrect
allpdb0732_8_194w.pdb 0.045 35.916 13.551 0.03670 Incorrect Incorrect
allpdb0732_8_97w.pdb 0.034 36.190 13.986 0.03245 Incorrect Incorrect
allpdb0732_8_50w.pdb 0.034 35.735 13.919 0.03291 Incorrect Incorrect
allpdb0732_8_83w.pdb 0.034 36.632 14.236 0.03193 Incorrect Incorrect
allpdb0732_8_55w.pdb 0.045 36.591 14.711 0.03548 Incorrect Incorrect
allpdb0732_8_34w.pdb 0.034 35.429 13.738 0.03331 Incorrect Incorrect
allpdb0732_8_197w.pdb 0.045 35.661 13.586 0.03692 Incorrect Incorrect
allpdb0732_8_171w.pdb 0.045 35.383 13.738 0.03710 Incorrect Incorrect
allpdb0732_8_163w.pdb 0.045 36.537 14.194 0.03578 Incorrect Incorrect
allpdb0732_8_189w.pdb 0.045 34.900 13.109 0.03795 Incorrect Incorrect
allpdb0732_8_71w.pdb 0.034 36.646 14.538 0.03176 Incorrect Incorrect
allpdb0732_8_119w.pdb 0.045 35.933 13.454 0.03674 Incorrect Incorrect
allpdb0732_8_100w.pdb 0.034 36.598 14.390 0.03188 Incorrect Incorrect
allpdb0732_8_115w.pdb 0.045 36.249 13.982 0.03615 Incorrect Incorrect
allpdb0732_8_122w.pdb 0.034 35.959 13.706 0.03282 Incorrect Incorrect
allpdb0732_8_89w.pdb 0.045 36.199 13.730 0.03633 Incorrect Incorrect
allpdb0732_8_32w.pdb 0.034 36.622 14.414 0.03185 Incorrect Incorrect
allpdb0732_8_148w.pdb 0.034 36.461 14.421 0.03199 Incorrect Incorrect
allpdb0732_8_129w.pdb 0.034 36.333 14.016 0.03231 Incorrect Incorrect
allpdb0732_8_156w.pdb 0.034 36.446 14.452 0.03198 Incorrect Incorrect
allpdb0732_8_9w.pdb 0.034 36.648 14.357 0.03185 Incorrect Incorrect
