#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0367_6_65w.pdb 0.470 3.173 1.936 0.57421 Medium Medium
allpdb0367_6_54w.pdb 0.512 3.252 1.650 0.61231 Medium Medium
allpdb0367_6_125w.pdb 0.542 3.097 1.754 0.61575 Medium Medium
allpdb0367_6_106w.pdb 0.548 2.712 1.351 0.66932 Medium Medium
allpdb0367_6_149w.pdb 0.566 1.801 1.264 0.70270 Medium Medium
allpdb0367_6_49w.pdb 0.464 2.772 1.596 0.61228 Medium Medium
allpdb0367_6_60w.pdb 0.500 3.345 1.787 0.59305 Medium Medium
allpdb0367_6_44w.pdb 0.548 2.167 1.308 0.68501 Medium Medium
allpdb0367_6_72w.pdb 0.494 2.113 1.339 0.66416 Medium Medium
allpdb0367_6_147w.pdb 0.530 2.648 1.406 0.65802 Medium Medium
allpdb0367_6_192w.pdb 0.488 2.182 1.384 0.65544 Medium Medium
allpdb0367_6_112w.pdb 0.428 3.040 1.767 0.57770 Medium Medium
allpdb0367_6_64w.pdb 0.452 2.965 1.680 0.59565 Medium Medium
allpdb0367_6_103w.pdb 0.482 2.499 1.342 0.65262 Medium Medium
allpdb0367_6_16w.pdb 0.476 2.678 1.607 0.61703 Medium Medium
allpdb0367_6_93w.pdb 0.476 3.018 1.892 0.58329 Medium Medium
allpdb0367_6_129w.pdb 0.500 2.302 1.299 0.66766 Medium Medium
allpdb0367_6_174w.pdb 0.458 2.083 1.349 0.65137 Medium Medium
allpdb0367_6_153w.pdb 0.488 2.142 1.367 0.65817 Medium Medium
allpdb0367_6_67w.pdb 0.482 3.405 2.000 0.56787 Medium Medium
allpdb0367_6_50w.pdb 0.464 3.406 1.848 0.57421 Medium Medium
allpdb0367_6_113w.pdb 0.476 2.793 1.439 0.63303 Medium Medium
allpdb0367_6_186w.pdb 0.518 3.612 1.906 0.58251 Medium Medium
allpdb0367_6_43w.pdb 0.398 3.807 1.960 0.53329 Medium Medium
allpdb0367_6_161w.pdb 0.440 4.814 2.380 0.49375 Medium Medium
allpdb0367_6_1w.pdb 0.506 2.182 1.500 0.64807 Medium Medium
