#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_176w.pdb 0.244 4.780 2.304 0.43394 Acceptable Acceptable
allpdb0089_10_99w.pdb 0.261 4.272 2.150 0.46225 Acceptable Acceptable
allpdb0089_10_123w.pdb 0.278 3.611 1.757 0.51552 Acceptable Medium
allpdb0089_10_13w.pdb 0.256 4.400 2.269 0.44947 Acceptable Acceptable
allpdb0089_10_109w.pdb 0.272 4.307 2.224 0.46019 Acceptable Acceptable
allpdb0089_10_48w.pdb 0.317 3.762 1.917 0.51089 Medium Medium
allpdb0089_10_161w.pdb 0.289 3.964 1.949 0.49408 Acceptable Medium
allpdb0089_10_51w.pdb 0.267 3.724 1.991 0.48926 Acceptable Acceptable
allpdb0089_10_41w.pdb 0.283 3.882 1.954 0.49381 Acceptable Medium
allpdb0089_10_144w.pdb 0.278 4.282 2.204 0.46402 Acceptable Acceptable
allpdb0089_10_194w.pdb 0.267 5.066 2.249 0.43744 Acceptable Acceptable
allpdb0089_10_81w.pdb 0.261 4.226 2.229 0.45821 Acceptable Acceptable
allpdb0089_10_145w.pdb 0.250 4.353 2.140 0.45722 Acceptable Acceptable
allpdb0089_10_146w.pdb 0.244 4.245 1.894 0.47676 Acceptable Acceptable
allpdb0089_10_153w.pdb 0.289 4.352 2.152 0.46939 Acceptable Acceptable
allpdb0089_10_158w.pdb 0.267 4.990 2.391 0.43090 Acceptable Acceptable
allpdb0089_10_172w.pdb 0.233 4.688 2.373 0.42854 Acceptable Acceptable
allpdb0089_10_186w.pdb 0.283 4.551 2.142 0.46320 Acceptable Acceptable
allpdb0089_10_92w.pdb 0.267 4.549 2.030 0.46574 Acceptable Acceptable
allpdb0089_10_128w.pdb 0.250 5.910 2.864 0.37980 Acceptable Acceptable
allpdb0089_10_19w.pdb 0.256 4.781 2.223 0.44268 Acceptable Acceptable
allpdb0089_10_14w.pdb 0.244 4.936 2.357 0.42681 Acceptable Acceptable
allpdb0089_10_191w.pdb 0.256 5.038 2.329 0.42957 Acceptable Acceptable
allpdb0089_10_55w.pdb 0.250 4.528 2.160 0.45142 Acceptable Acceptable
allpdb0089_10_192w.pdb 0.261 4.705 2.201 0.44793 Acceptable Acceptable
allpdb0089_10_150w.pdb 0.272 4.054 2.028 0.48015 Acceptable Acceptable
allpdb0089_10_69w.pdb 0.278 4.473 2.147 0.46300 Acceptable Acceptable
allpdb0089_10_18w.pdb 0.250 5.014 2.233 0.43426 Acceptable Acceptable
allpdb0089_10_166w.pdb 0.256 4.082 1.903 0.48379 Acceptable Acceptable
allpdb0089_10_129w.pdb 0.222 5.142 2.547 0.40392 Acceptable Acceptable
allpdb0089_10_45w.pdb 0.250 4.805 2.103 0.44832 Acceptable Acceptable
allpdb0089_10_196w.pdb 0.206 3.987 1.893 0.47029 Acceptable Acceptable
allpdb0089_10_183w.pdb 0.239 4.206 2.055 0.46328 Acceptable Acceptable
allpdb0089_10_30w.pdb 0.244 4.139 2.108 0.46295 Acceptable Acceptable
allpdb0089_10_70w.pdb 0.272 4.266 1.996 0.47728 Acceptable Acceptable
allpdb0089_10_21w.pdb 0.239 4.467 1.998 0.46096 Acceptable Acceptable
allpdb0089_10_122w.pdb 0.267 4.077 1.981 0.48135 Acceptable Acceptable
allpdb0089_10_141w.pdb 0.250 5.708 2.428 0.40515 Acceptable Acceptable
allpdb0089_10_193w.pdb 0.250 6.211 2.785 0.37562 Acceptable Acceptable
allpdb0089_10_114w.pdb 0.261 4.694 2.216 0.44720 Acceptable Acceptable
allpdb0089_10_84w.pdb 0.261 4.317 2.130 0.46250 Acceptable Acceptable
allpdb0089_10_85w.pdb 0.278 4.215 1.905 0.48774 Acceptable Acceptable
allpdb0089_10_163w.pdb 0.239 4.235 2.040 0.46366 Acceptable Acceptable
allpdb0089_10_10w.pdb 0.250 4.611 2.274 0.44193 Acceptable Acceptable
allpdb0089_10_26w.pdb 0.239 4.067 2.047 0.46732 Acceptable Acceptable
allpdb0089_10_127w.pdb 0.267 4.809 2.200 0.44715 Acceptable Acceptable
allpdb0089_10_156w.pdb 0.250 5.118 2.397 0.42179 Acceptable Acceptable
allpdb0089_10_2w.pdb 0.272 4.296 2.029 0.47405 Acceptable Acceptable
allpdb0089_10_89w.pdb 0.228 4.817 2.481 0.41747 Acceptable Acceptable
allpdb0089_10_115w.pdb 0.267 4.244 2.128 0.46634 Acceptable Acceptable
allpdb0089_10_177w.pdb 0.244 4.473 2.099 0.45517 Acceptable Acceptable
allpdb0089_10_197w.pdb 0.267 4.858 2.339 0.43728 Acceptable Acceptable
allpdb0089_10_3w.pdb 0.244 4.692 2.223 0.44124 Acceptable Acceptable
allpdb0089_10_54w.pdb 0.239 4.112 2.075 0.46417 Acceptable Acceptable
allpdb0089_10_157w.pdb 0.211 4.812 2.447 0.41384 Acceptable Acceptable
allpdb0089_10_175w.pdb 0.233 4.358 1.993 0.46230 Acceptable Acceptable
allpdb0089_10_87w.pdb 0.250 4.436 1.999 0.46542 Acceptable Acceptable
allpdb0089_10_134w.pdb 0.211 4.709 2.327 0.42327 Acceptable Acceptable
allpdb0089_10_34w.pdb 0.250 3.983 1.935 0.48176 Acceptable Acceptable
allpdb0089_10_180w.pdb 0.217 5.137 2.604 0.39941 Acceptable Acceptable
allpdb0089_10_60w.pdb 0.228 3.492 1.749 0.50238 Acceptable Medium
allpdb0089_10_66w.pdb 0.250 4.705 2.277 0.43934 Acceptable Acceptable
allpdb0089_10_151w.pdb 0.228 4.411 2.068 0.45346 Acceptable Acceptable
allpdb0089_10_77w.pdb 0.217 4.639 2.355 0.42525 Acceptable Acceptable
allpdb0089_10_91w.pdb 0.244 4.263 1.993 0.46836 Acceptable Acceptable
allpdb0089_10_170w.pdb 0.233 4.226 2.029 0.46282 Acceptable Acceptable
allpdb0089_10_72w.pdb 0.222 5.023 2.462 0.41136 Acceptable Acceptable
allpdb0089_10_149w.pdb 0.250 4.067 1.961 0.47757 Acceptable Acceptable
allpdb0089_10_7w.pdb 0.233 4.837 2.376 0.42456 Acceptable Acceptable
allpdb0089_10_86w.pdb 0.244 3.804 1.770 0.49851 Acceptable Medium
allpdb0089_10_90w.pdb 0.233 3.728 1.802 0.49379 Acceptable Medium
allpdb0089_10_1w.pdb 0.211 4.881 2.333 0.41851 Acceptable Acceptable
allpdb0089_10_108w.pdb 0.206 4.868 2.114 0.43113 Acceptable Acceptable
