#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0461_4_29w.pdb 0.241 10.367 4.076 0.25400 Incorrect Acceptable
allpdb0461_4_28w.pdb 0.241 9.637 3.955 0.26801 Acceptable Acceptable
allpdb0461_4_141w.pdb 0.259 8.903 3.737 0.29164 Acceptable Acceptable
allpdb0461_4_101w.pdb 0.250 10.606 3.909 0.25648 Acceptable Acceptable
allpdb0461_4_155w.pdb 0.241 9.793 3.857 0.26725 Acceptable Acceptable
allpdb0461_4_126w.pdb 0.259 9.800 3.980 0.27097 Acceptable Acceptable
allpdb0461_4_23w.pdb 0.231 9.321 3.965 0.27024 Acceptable Acceptable
allpdb0461_4_164w.pdb 0.259 9.945 3.855 0.27096 Acceptable Acceptable
allpdb0461_4_148w.pdb 0.222 9.745 3.962 0.25988 Acceptable Acceptable
allpdb0461_4_45w.pdb 0.231 9.441 3.863 0.27007 Acceptable Acceptable
allpdb0461_4_91w.pdb 0.250 9.995 3.933 0.26556 Acceptable Acceptable
allpdb0461_4_116w.pdb 0.241 10.729 4.067 0.24871 Incorrect Acceptable
allpdb0461_4_106w.pdb 0.259 9.135 3.766 0.28676 Acceptable Acceptable
allpdb0461_4_40w.pdb 0.278 9.201 3.782 0.29139 Acceptable Acceptable
allpdb0461_4_52w.pdb 0.213 9.399 3.850 0.26488 Acceptable Acceptable
allpdb0461_4_78w.pdb 0.241 9.541 3.921 0.27030 Acceptable Acceptable
allpdb0461_4_67w.pdb 0.269 9.711 3.948 0.27615 Acceptable Acceptable
allpdb0461_4_96w.pdb 0.194 10.020 4.097 0.24371 Incorrect Acceptable
allpdb0461_4_31w.pdb 0.269 9.623 3.880 0.27894 Acceptable Acceptable
allpdb0461_4_63w.pdb 0.259 9.780 3.945 0.27197 Acceptable Acceptable
allpdb0461_4_42w.pdb 0.241 9.879 4.062 0.26204 Acceptable Acceptable
allpdb0461_4_51w.pdb 0.241 10.019 4.080 0.25945 Incorrect Acceptable
allpdb0461_4_178w.pdb 0.250 10.056 4.044 0.26255 Incorrect Acceptable
allpdb0461_4_195w.pdb 0.250 9.998 3.897 0.26618 Acceptable Acceptable
allpdb0461_4_32w.pdb 0.259 9.423 3.809 0.28072 Acceptable Acceptable
allpdb0461_4_196w.pdb 0.194 8.931 3.850 0.26719 Acceptable Acceptable
allpdb0461_4_199w.pdb 0.222 9.349 4.111 0.26408 Acceptable Acceptable
allpdb0461_4_188w.pdb 0.250 11.287 4.414 0.23847 Incorrect Acceptable
allpdb0461_4_149w.pdb 0.222 10.291 4.159 0.24762 Incorrect Acceptable
allpdb0461_4_169w.pdb 0.250 8.699 3.604 0.29536 Acceptable Acceptable
allpdb0461_4_39w.pdb 0.231 10.363 4.134 0.25001 Incorrect Acceptable
allpdb0461_4_153w.pdb 0.222 9.155 3.719 0.27503 Acceptable Acceptable
allpdb0461_4_70w.pdb 0.250 9.330 3.962 0.27630 Acceptable Acceptable
allpdb0461_4_121w.pdb 0.259 9.011 3.853 0.28723 Acceptable Acceptable
allpdb0461_4_5w.pdb 0.241 9.522 3.927 0.27050 Acceptable Acceptable
allpdb0461_4_81w.pdb 0.241 9.836 3.967 0.26445 Acceptable Acceptable
allpdb0461_4_175w.pdb 0.241 9.598 3.978 0.26827 Acceptable Acceptable
allpdb0461_4_186w.pdb 0.231 9.657 3.918 0.26528 Acceptable Acceptable
allpdb0461_4_159w.pdb 0.241 9.201 3.843 0.27781 Acceptable Acceptable
allpdb0461_4_161w.pdb 0.241 9.278 4.018 0.27313 Acceptable Acceptable
allpdb0461_4_36w.pdb 0.241 9.936 4.123 0.26006 Acceptable Acceptable
allpdb0461_4_119w.pdb 0.278 9.312 3.729 0.29052 Acceptable Acceptable
allpdb0461_4_183w.pdb 0.231 9.277 3.896 0.27232 Acceptable Acceptable
allpdb0461_4_98w.pdb 0.231 9.642 4.060 0.26295 Acceptable Acceptable
allpdb0461_4_109w.pdb 0.222 10.263 4.020 0.25044 Incorrect Acceptable
allpdb0461_4_127w.pdb 0.231 10.805 4.137 0.24331 Incorrect Acceptable
