#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_47w.pdb 0.511 2.966 1.277 0.66080 Medium Medium
allpdb0089_10_116w.pdb 0.456 4.754 1.542 0.56784 Medium Medium
allpdb0089_10_117w.pdb 0.472 3.484 1.480 0.61174 Medium Medium
allpdb0089_10_196w.pdb 0.500 2.600 1.164 0.67960 Medium Medium
allpdb0089_10_102w.pdb 0.444 3.464 1.420 0.60979 Medium Medium
allpdb0089_10_161w.pdb 0.439 3.660 1.588 0.58463 Medium Medium
allpdb0089_10_82w.pdb 0.461 3.651 1.359 0.61814 Medium Medium
allpdb0089_10_49w.pdb 0.456 3.792 1.384 0.60992 Medium Medium
allpdb0089_10_77w.pdb 0.450 3.037 1.396 0.62417 Medium Medium
allpdb0089_10_71w.pdb 0.406 4.781 1.585 0.54588 Medium Medium
allpdb0089_10_130w.pdb 0.422 4.298 1.562 0.56614 Medium Medium
allpdb0089_10_98w.pdb 0.439 4.528 1.685 0.55334 Medium Medium
allpdb0089_10_59w.pdb 0.433 2.892 1.322 0.63073 Medium Medium
allpdb0089_10_198w.pdb 0.411 3.987 1.471 0.58020 Medium Medium
allpdb0089_10_137w.pdb 0.417 5.193 1.879 0.51135 Medium Medium
allpdb0089_10_61w.pdb 0.411 3.483 1.539 0.58479 Medium Medium
allpdb0089_10_124w.pdb 0.422 4.630 1.777 0.53651 Medium Medium
allpdb0089_10_109w.pdb 0.450 3.590 1.593 0.58950 Medium Medium
allpdb0089_10_145w.pdb 0.444 4.204 1.608 0.57103 Medium Medium
allpdb0089_10_164w.pdb 0.428 3.701 1.464 0.59356 Medium Medium
allpdb0089_10_57w.pdb 0.444 3.283 1.403 0.61596 Medium Medium
allpdb0089_10_92w.pdb 0.406 4.007 1.501 0.57450 Medium Medium
allpdb0089_10_39w.pdb 0.389 3.447 1.446 0.58866 Medium Medium
allpdb0089_10_90w.pdb 0.394 3.954 1.526 0.56937 Medium Medium
allpdb0089_10_177w.pdb 0.383 3.325 1.440 0.59031 Medium Medium
allpdb0089_10_134w.pdb 0.456 3.057 1.331 0.63347 Medium Medium
allpdb0089_10_135w.pdb 0.433 4.316 1.866 0.54029 Medium Medium
allpdb0089_10_176w.pdb 0.428 3.886 1.599 0.57429 Medium Medium
allpdb0089_10_178w.pdb 0.406 4.439 1.554 0.55786 Medium Medium
allpdb0089_10_43w.pdb 0.428 4.170 1.662 0.56095 Medium Medium
allpdb0089_10_103w.pdb 0.383 3.132 1.395 0.60001 Medium Medium
allpdb0089_10_13w.pdb 0.383 4.453 1.741 0.53130 Medium Medium
allpdb0089_10_22w.pdb 0.400 2.683 1.347 0.62100 Medium Medium
allpdb0089_10_171w.pdb 0.500 3.140 1.424 0.63531 Medium Medium
allpdb0089_10_74w.pdb 0.400 3.894 1.506 0.57479 Medium Medium
allpdb0089_10_199w.pdb 0.439 3.336 1.389 0.61464 Medium Medium
